"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 의정부시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 의정부시 자일동","2*","전","개발제한구역","-","202312","27","661.50","9,970","지분","-","직거래","-"
"2","경기도 의정부시 금오동","3**","답","제2종일반주거지역","8m미만","202312","27","109.00","15,000","","-","중개거래","서울 도봉구"
"3","경기도 의정부시 산곡동","6**","대","제1종일반주거지역","8m미만","202312","26","147.00","24,200","","-","직거래","-"
"4","경기도 의정부시 호원동","2**","전","개발제한구역","-","202312","19","536.00","11,000","","-","직거래","-"
"5","경기도 의정부시 산곡동","6**","대","제1종일반주거지역","8m미만","202312","19","330.20","49,695","","-","직거래","-"
"6","경기도 의정부시 신곡동","2**","전","개발제한구역","25m미만","202312","19","116.00","10,500","","-","직거래","-"
"7","경기도 의정부시 가능동","8*","구거","제2종일반주거지역","-","202312","18","155.00","50,220","","-","직거래","-"
"8","경기도 의정부시 호원동","2**","전","자연녹지지역","8m미만","202312","15","95.00","15,200","","-","중개거래","경기 남양주시"
"9","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202312","15","261.00","32,765","","-","중개거래","경기 남양주시"
"10","경기도 의정부시 산곡동","산7*","임야","개발제한구역","8m미만","202312","15","16.50","1,000","지분","-","직거래","-"
"11","경기도 의정부시 의정부동","2**","대","일반상업지역","12m미만","202312","14","37.00","10,000","","-","중개거래","경기 의정부시"
"12","경기도 의정부시 의정부동","2**","대","일반상업지역","8m미만","202312","14","177.50","123,500","","-","중개거래","경기 의정부시"
"13","경기도 의정부시 의정부동","1*","도로","제2종일반주거지역","-","202312","13","12.10","3,993","","-","직거래","-"
"14","경기도 의정부시 낙양동","1**","전","개발제한구역","8m미만","202312","12","1486.00","45,249","","-","직거래","-"
"15","경기도 의정부시 가능동","산1*","임야","개발제한구역","-","202312","12","992.00","3,600","지분","-","직거래","-"
"16","경기도 의정부시 자일동","5*","답","개발제한구역","25m이상","202312","11","3867.00","148,106","","-","직거래","-"
"17","경기도 의정부시 가능동","4**","대","자연녹지지역","25m미만","202312","06","2568.00","377,000","","-","중개거래","경기 의정부시"
"18","경기도 의정부시 고산동","2**","답","개발제한구역","8m미만","202312","05","952.00","66,240","지분","20240320","중개거래","경기 의정부시"
"19","경기도 의정부시 고산동","2**","답","개발제한구역","8m미만","202312","05","1058.00","73,600","지분","20240104","중개거래","경기 의정부시"
"20","경기도 의정부시 고산동","2**","전","개발제한구역","-","202312","02","1798.55","43,500","지분","-","중개거래","경기 의정부시"
"21","경기도 의정부시 의정부동","3**","도로","제2종일반주거지역","-","202311","27","8.40","800","","-","직거래","-"
"22","경기도 의정부시 신곡동","1**","전","자연녹지지역","8m미만","202311","24","456.00","60,000","","-","중개거래","경기 의정부시"
"23","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","89.92","11,696","지분","-","중개거래","경기 남양주시"
"24","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","154.15","20,050","지분","-","중개거래","경기 남양주시"
"25","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","169.86","21,113","지분","-","중개거래","경기 남양주시"
"26","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","25.00","3,382","","-","중개거래","경기 남양주시"
"27","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","99.08","13,007","지분","-","중개거래","경기 남양주시"
"28","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","934.00","121,490","","-","중개거래","경기 남양주시"
"29","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","24","132.00","17,170","","-","중개거래","경기 남양주시"
"30","경기도 의정부시 신곡동","1**","답","자연녹지지역","-","202311","24","3077.00","250,000","","-","중개거래","경기 의정부시"
"31","경기도 의정부시 신곡동","1**","답","제2종일반주거지역","-","202311","24","146.00","43,000","","-","중개거래","경기 의정부시"
"32","경기도 의정부시 신곡동","1**","답","제2종일반주거지역","-","202311","24","228.00","60,000","","-","중개거래","경기 의정부시"
"33","경기도 의정부시 신곡동","4**","대","제3종일반주거지역","12m미만","202311","23","50.66","25,000","지분","-","중개거래","경기 의정부시"
"34","경기도 의정부시 고산동","2**","전","개발제한구역","8m미만","202311","21","496.50","45,000","","-","직거래","-"
"35","경기도 의정부시 고산동","9*","전","자연녹지지역","-","202311","20","330.00","15,000","","-","직거래","-"
"36","경기도 의정부시 신곡동","5**","대","제1종일반주거지역","8m미만","202311","17","61.00","20,000","","-","직거래","-"
"37","경기도 의정부시 신곡동","5**","대","제2종일반주거지역","8m미만","202311","17","61.00","20,000","","-","직거래","-"
"38","경기도 의정부시 신곡동","산4*","도로","자연녹지지역","-","202311","15","616.00","9,394","","-","직거래","-"
"39","경기도 의정부시 신곡동","3**","도로","개발제한구역","-","202311","15","220.00","14,817","","-","직거래","-"
"40","경기도 의정부시 가능동","1**","답","제2종일반주거지역","-","202311","15","63.00","8,500","","-","직거래","-"
"41","경기도 의정부시 신곡동","산6*","임야","자연녹지지역","-","202311","15","113.00","4,769","","-","직거래","-"
"42","경기도 의정부시 신곡동","산6*","도로","개발제한구역","-","202311","15","29.00","1,515","","-","직거래","-"
"43","경기도 의정부시 신곡동","산6*","도로","자연녹지지역","-","202311","15","195.00","10,189","","-","직거래","-"
"44","경기도 의정부시 신곡동","산4*","도로","자연녹지지역","-","202311","15","766.00","29,644","","-","직거래","-"
"45","경기도 의정부시 신곡동","산6*","임야","자연녹지지역","-","202311","15","159.00","6,710","","-","직거래","-"
"46","경기도 의정부시 신곡동","3**","도로","개발제한구역","-","202311","15","137.00","10,720","","-","직거래","-"
"47","경기도 의정부시 신곡동","산6*","도로","자연녹지지역","-","202311","15","169.00","8,830","","-","직거래","-"
"48","경기도 의정부시 가능동","1**","답","제2종일반주거지역","8m미만","202311","15","63.00","8,500","","-","직거래","-"
"49","경기도 의정부시 산곡동","산7*","임야","개발제한구역","8m미만","202311","10","33.00","3,300","지분","-","직거래","-"
"50","경기도 의정부시 가능동","1**","답","제2종일반주거지역","-","202311","03","63.00","9,000","","-","직거래","-"
"51","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","02","6.75","850","지분","-","중개거래","경기 남양주시"
"52","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","02","15.10","1,940","지분","-","중개거래","경기 남양주시"
"53","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","02","6.75","850","지분","-","중개거래","경기 남양주시"
"54","경기도 의정부시 호원동","2**","전","자연녹지지역","-","202311","02","6.75","850","지분","-","중개거래","경기 남양주시"
"55","경기도 의정부시 고산동","산5*","임야","개발제한구역","-","202311","01","33.00","1,548","지분","-","직거래","-"
"56","경기도 의정부시 의정부동","1**","대","일반상업지역","8m미만","202311","01","1.49","10,000","지분","-","중개거래","경기 양주시"
"57","경기도 의정부시 신곡동","4**","대","제3종일반주거지역","12m미만","202311","01","50.66","24,000","지분","-","중개거래","경기 의정부시"
"58","경기도 의정부시 신곡동","4**","대","제3종일반주거지역","12m미만","202310","31","50.66","25,000","지분","20231101","중개거래","경기 의정부시"
"59","경기도 의정부시 고산동","9**","대","제1종일반주거지역","12m미만","202310","31","242.00","59,000","","-","직거래","-"
"60","경기도 의정부시 고산동","산6*","임야","제1종일반주거지역","8m미만","202310","30","182.00","18,962","지분","-","중개거래","경기 양주시"
"61","경기도 의정부시 고산동","산6*","임야","제1종일반주거지역","-","202310","30","105.50","3,500","지분","-","중개거래","경기 양주시"
"62","경기도 의정부시 고산동","산6*","임야","개발제한구역","-","202310","30","131.00","500","지분","-","중개거래","경기 양주시"
"63","경기도 의정부시 고산동","6**","임야","제1종일반주거지역","8m미만","202310","30","142.50","14,153","지분","-","중개거래","경기 양주시"
"64","경기도 의정부시 고산동","6**","임야","제1종일반주거지역","-","202310","30","125.50","12,679","지분","-","중개거래","경기 양주시"
"65","경기도 의정부시 의정부동","3*","답","일반상업지역","12m미만","202310","30","1.51","1,200","지분","-","중개거래","경기 의정부시"
"66","경기도 의정부시 고산동","산6*","임야","제1종일반주거지역","-","202310","30","9.50","256","지분","-","중개거래","경기 양주시"
"67","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","51.00","3,094","","-","중개거래","경기 양주시"
"68","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","10.00","607","","-","중개거래","경기 양주시"
"69","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","89.00","5,399","","-","중개거래","경기 양주시"
"70","경기도 의정부시 고산동","산6*","임야","자연녹지지역","-","202310","30","10.00","184","지분","-","중개거래","경기 양주시"
"71","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","544.00","33,002","","-","중개거래","경기 양주시"
"72","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","313.00","18,988","","-","중개거래","경기 양주시"
"73","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202310","30","15.00","910","","-","중개거래","경기 양주시"
"74","경기도 의정부시 고산동","6**","임야","제1종일반주거지역","8m미만","202310","30","31.50","4,049","지분","-","중개거래","경기 양주시"
"75","경기도 의정부시 고산동","6**","임야","자연녹지지역","-","202310","30","39.50","718","지분","-","중개거래","경기 양주시"
"76","경기도 의정부시 고산동","6*","전","개발제한구역","-","202310","28","1364.00","20,600","","20231122","중개거래","경기 의정부시"
"77","경기도 의정부시 고산동","6*","전","개발제한구역","-","202310","26","1364.00","20,600","","-","중개거래","경기 의정부시"
"78","경기도 의정부시 신곡동","4**","도로","제2종일반주거지역","-","202310","26","8.00","1,000","","-","중개거래","경기 의정부시"
"79","경기도 의정부시 금오동","4**","대","제1종일반주거지역","8m미만","202310","26","3.60","220","","-","직거래","-"
"80","경기도 의정부시 산곡동","*","대","용도미지정","-","202310","23","52.00","11,804","","-","직거래","-"
"81","경기도 의정부시 신곡동","4**","전","자연녹지지역","25m이상","202310","19","15.00","1,000","","-","직거래","-"
"82","경기도 의정부시 낙양동","6*","전","개발제한구역","8m미만","202310","18","949.00","23,200","","-","중개거래","경기 의정부시"
"83","경기도 의정부시 낙양동","6*","전","개발제한구역","8m미만","202310","18","74.00","1,800","지분","-","중개거래","경기 의정부시"
"84","경기도 의정부시 고산동","5**","도로","자연녹지지역","-","202310","17","40.75","2,500","지분","-","직거래","-"
"85","경기도 의정부시 금오동","1**","전","자연녹지지역","-","202310","17","347.00","17,850","","-","직거래","-"
"86","경기도 의정부시 호원동","2**","대","제1종일반주거지역","-","202310","16","11.00","540","지분","-","직거래","-"
"87","경기도 의정부시 가능동","1*","도로","제2종일반주거지역","-","202310","16","60.00","4,158","지분","-","직거래","-"
"88","경기도 의정부시 호원동","1**","전","제1종일반주거지역","8m미만","202310","16","37.20","5,000","지분","-","직거래","-"
"89","경기도 의정부시 호원동","산1**","임야","자연녹지지역","-","202310","16","54.00","500","","-","직거래","-"
"90","경기도 의정부시 호원동","산1**","임야","제1종일반주거지역","8m미만","202310","16","14.00","600","","-","직거래","-"
"91","경기도 의정부시 호원동","산1**","임야","제1종일반주거지역","8m미만","202310","16","50.00","1,600","","-","직거래","-"
"92","경기도 의정부시 호원동","산1**","임야","개발제한구역","-","202310","16","2511.00","7,300","","-","직거래","-"
"93","경기도 의정부시 호원동","산1**","임야","개발제한구역","-","202310","16","1388.00","4,000","","-","직거래","-"
"94","경기도 의정부시 호원동","1**","대","제1종일반주거지역","8m미만","202310","16","20.00","2,544","","-","직거래","-"
"95","경기도 의정부시 호원동","1**","대","제1종일반주거지역","8m미만","202310","16","21.36","3,200","지분","-","직거래","-"
"96","경기도 의정부시 용현동","1**","대","제1종일반주거지역","-","202310","13","120.00","8,194","지분","-","중개거래","경기 의정부시"
"97","경기도 의정부시 용현동","1**","대","제1종일반주거지역","8m미만","202310","13","140.00","29,960","","-","중개거래","경기 의정부시"
"98","경기도 의정부시 용현동","1**","대","제1종일반주거지역","8m미만","202310","13","233.00","49,862","","-","중개거래","경기 의정부시"
"99","경기도 의정부시 용현동","1**","대","제1종일반주거지역","8m미만","202310","13","56.00","11,984","","-","중개거래","경기 의정부시"
"100","경기도 의정부시 용현동","2**","도로","제1종일반주거지역","-","202310","13","7.91","1,000","지분","-","직거래","-"
"101","경기도 의정부시 용현동","2**","도로","제1종일반주거지역","-","202310","13","7.91","1,000","지분","-","직거래","-"
"102","경기도 의정부시 호원동","1**","대","자연녹지지역","8m미만","202310","13","555.00","86,681","","-","직거래","-"
"103","경기도 의정부시 금오동","4**","대","제2종일반주거지역","12m미만","202310","13","112.80","35,000","","-","중개거래","경기 양주시"
"104","경기도 의정부시 산곡동","*","대","용도미지정","-","202310","13","150.00","34,050","","-","직거래","-"
"105","경기도 의정부시 산곡동","*","대","용도미지정","-","202310","13","51.00","5,916","","-","직거래","-"
"106","경기도 의정부시 가능동","1*","도로","제2종일반주거지역","-","202310","11","65.00","10,000","지분","-","직거래","-"
"107","경기도 의정부시 고산동","산2*","임야","개발제한구역","-","202310","11","13785.00","12,500","","-","중개거래","경기 포천시"
