"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-01-01 ~ 2021-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 의정부시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 의정부시 의정부동","4**","대","일반상업지역","8m미만","202112","31","43.30","32,740","","-","직거래","-"
"2","경기도 의정부시 고산동","2**","전","개발제한구역","8m미만","202112","30","1493.00","67,500","지분","-","직거래","-"
"3","경기도 의정부시 의정부동","*","대","제2종일반주거지역","25m미만","202112","30","162.00","78,900","","-","중개거래","경기 의정부시"
"4","경기도 의정부시 의정부동","*","대","제2종일반주거지역","25m미만","202112","30","585.10","260,000","","-","중개거래","경기 의정부시"
"5","경기도 의정부시 의정부동","*","대","제2종일반주거지역","25m미만","202112","30","162.00","78,900","","20220520","중개거래","경기 의정부시"
"6","경기도 의정부시 의정부동","*","대","제2종일반주거지역","-","202112","30","585.10","260,000","","20220520","중개거래","경기 의정부시"
"7","경기도 의정부시 산곡동","*","대","일반상업지역","-","202112","29","10428.00","2,460,120","","-","직거래","-"
"8","경기도 의정부시 산곡동","*","대","용도미지정","-","202112","29","43270.00","7,852,800","","-","직거래","-"
"9","경기도 의정부시 산곡동","5**","답","자연녹지지역","-","202112","28","330.00","19,000","","-","중개거래","경기 의정부시"
"10","경기도 의정부시 산곡동","5**","답","개발제한구역","25m이상","202112","28","330.00","18,688","","-","중개거래","경기 의정부시"
"11","경기도 의정부시 용현동","4**","전","개발제한구역","-","202112","27","1402.00","55,000","","-","직거래","-"
"12","경기도 의정부시 고산동","3**","답","개발제한구역","8m미만","202112","25","330.00","14,000","지분","-","중개거래","경기 의정부시"
"13","경기도 의정부시 낙양동","1**","전","개발제한구역","8m미만","202112","24","434.00","10,972","","-","직거래","-"
"14","경기도 의정부시 낙양동","1**","전","개발제한구역","8m미만","202112","24","738.00","19,588","","-","직거래","-"
"15","경기도 의정부시 호원동","산9*","임야","개발제한구역","8m미만","202112","24","2009.50","8,500","지분","20220413","중개거래","서울 관악구"
"16","경기도 의정부시 금오동","4**","대","제2종일반주거지역","12m미만","202112","24","119.20","30,100","","-","중개거래","경기 의정부시 경기 포천시"
"17","경기도 의정부시 낙양동","1**","주차장","개발제한구역","8m미만","202112","24","263.00","8,623","","-","직거래","-"
"18","경기도 의정부시 낙양동","1**","도로","개발제한구역","-","202112","24","9.00","75","","-","직거래","-"
"19","경기도 의정부시 호원동","2**","대","개발제한구역","8m미만","202112","24","165.00","8,000","지분","20220413","중개거래","서울 관악구"
