"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2017-01-01 ~ 2017-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 인천 계양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 계양구 상야동","3*","답","개발제한구역","8m미만","201712","29","3778.00","80,000","","-","-","-"
"2","인천광역시 계양구 서운동","1*","대","제3종일반주거지역","-","201712","29","92.00","16,770","","-","-","-"
"3","인천광역시 계양구 둑실동","1**","전","제1종일반주거지역","-","201712","29","939.00","48,000","","-","-","-"
"4","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","28","82.64","1,073","지분","-","-","-"
"5","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","28","99.17","1,287","지분","-","-","-"
"6","인천광역시 계양구 목상동","1**","임야","개발제한구역","-","201712","26","962.00","4,040","","-","-","-"
"7","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","26","99.17","1,287","지분","-","-","-"
"8","인천광역시 계양구 서운동","*","대","제3종일반주거지역","8m미만","201712","26","124.00","20,000","","-","-","-"
"9","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","19","231.00","3,003","지분","-","-","-"
"10","인천광역시 계양구 계산동","3**","전","제3종일반주거지역","-","201712","18","16.00","3,984","","-","-","-"
"11","인천광역시 계양구 다남동","6*","답","제1종일반주거지역","8m미만","201712","15","107.00","10,368","","-","-","-"
"12","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","15","331.00","4,290","지분","-","-","-"
"13","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","15","199.00","2,574","지분","-","-","-"
"14","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","100.00","2,910","지분","-","-","-"
"15","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","66.00","1,980","지분","-","-","-"
"16","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","205.00","6,138","지분","-","-","-"
"17","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","165.00","4,950","지분","-","-","-"
"18","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","66.00","1,980","지분","-","-","-"
"19","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","99.00","2,970","지분","-","-","-"
"20","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","13","66.00","858","지분","-","-","-"
"21","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","165.00","4,950","지분","-","-","-"
"22","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","40.00","1,188","지분","-","-","-"
"23","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","132.00","3,960","지분","-","-","-"
"24","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","189.00","5,643","지분","-","-","-"
"25","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","156.00","4,653","지분","-","-","-"
"26","인천광역시 계양구 귤현동","산4*","임야","자연녹지지역","-","201712","13","50.00","1,485","지분","-","-","-"
"27","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","40.00","1,188","지분","-","-","-"
"28","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","86.00","2,574","지분","-","-","-"
"29","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","103.00","3,069","지분","-","-","-"
"30","인천광역시 계양구 귤현동","산4*","임야","개발제한구역","-","201712","13","99.00","2,970","지분","-","-","-"
"31","인천광역시 계양구 동양동","산1*","임야","개발제한구역","8m미만","201712","12","342.33","1,500","지분","-","-","-"
"32","인천광역시 계양구 귤현동","4**","전","개발제한구역","-","201712","12","648.00","10,000","","-","-","-"
"33","인천광역시 계양구 다남동","1**","전","자연녹지지역","12m미만","201712","12","496.00","24,000","","-","-","-"
"34","인천광역시 계양구 동양동","3**","임야","개발제한구역","8m미만","201712","12","115.00","1,500","지분","-","-","-"
"35","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","11","331.00","4,290","지분","-","-","-"
"36","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","11","165.00","2,145","지분","-","-","-"
"37","인천광역시 계양구 박촌동","2**","전","개발제한구역","-","201712","11","331.00","6,700","지분","-","-","-"
"38","인천광역시 계양구 동양동","1**","전","개발제한구역","25m미만","201712","06","1710.00","48,820","","-","-","-"
"39","인천광역시 계양구 동양동","1**","답","개발제한구역","25m미만","201712","06","3.00","280","","-","-","-"
"40","인천광역시 계양구 둑실동","8*","전","개발제한구역","8m미만","201712","05","844.00","28,000","","-","-","-"
"41","인천광역시 계양구 병방동","2*","전","자연녹지지역","-","201712","05","496.00","24,750","","-","-","-"
"42","인천광역시 계양구 다남동","1**","답","개발제한구역","-","201712","05","330.00","13,000","","-","-","-"
"43","인천광역시 계양구 갈현동","산2*","임야","개발제한구역","-","201712","05","99.17","1,287","지분","-","-","-"
