"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2016-01-01 ~ 2016-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 인천 계양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 계양구 박촌동","산1*","임야","개발제한구역","8m미만","201612","30","330.00","6,300","지분","-","-","-"
"2","인천광역시 계양구 방축동","산*","임야","개발제한구역","-","201612","30","198.00","2,274","지분","-","-","-"
"3","인천광역시 계양구 서운동","1**","답","생산녹지지역","8m미만","201612","28","991.00","126,300","","-","-","-"
"4","인천광역시 계양구 서운동","1**","답","생산녹지지역","-","201612","28","115.70","14,700","지분","-","-","-"
"5","인천광역시 계양구 다남동","1**","전","자연녹지지역","8m미만","201612","27","331.00","8,000","","-","-","-"
"6","인천광역시 계양구 동양동","6**","대","제2종일반주거지역","25m미만","201612","26","195.45","22,370","지분","-","-","-"
"7","인천광역시 계양구 동양동","1**","답","자연녹지지역","25m미만","201612","26","156.00","9,400","","-","-","-"
"8","인천광역시 계양구 동양동","6**","대","제2종일반주거지역","25m미만","201612","26","89.50","10,230","","-","-","-"
"9","인천광역시 계양구 서운동","1**","답","생산녹지지역","-","201612","25","25.00","1,300","","-","-","-"
"10","인천광역시 계양구 서운동","1**","답","생산녹지지역","12m미만","201612","25","3774.00","393,700","","-","-","-"
"11","인천광역시 계양구 상야동","1**","답","제1종일반주거지역","8m미만","201612","24","23.00","1,750","","-","-","-"
"12","인천광역시 계양구 동양동","2**","전","개발제한구역","25m미만","201612","24","893.00","27,000","","-","-","-"
"13","인천광역시 계양구 방축동","8*","전","자연녹지지역","8m미만","201612","23","661.00","14,000","","-","-","-"
"14","인천광역시 계양구 갈현동","1**","전","개발제한구역","8m미만","201612","14","245.00","4,440","","-","-","-"
"15","인천광역시 계양구 병방동","5*","답","개발제한구역","8m미만","201612","13","3702.00","50,373","","-","-","-"
"16","인천광역시 계양구 박촌동","산1*","임야","개발제한구역","8m미만","201612","10","330.00","6,300","지분","-","-","-"
