"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 인천 계양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 계양구 선주지동","3**","답","개발제한구역","8m미만","201812","31","2526.00","36,672","","-","-","-"
"2","인천광역시 계양구 노오지동","9*","답","개발제한구역","8m미만","201812","31","3307.00","42,000","","-","-","-"
"3","인천광역시 계양구 작전동","6**","전","준공업지역","12m미만","201812","31","1.00","109","지분","-","-","-"
"4","인천광역시 계양구 오류동","*","답","개발제한구역","8m미만","201812","28","1114.00","20,890","지분","-","-","-"
"5","인천광역시 계양구 오류동","*","답","개발제한구역","8m미만","201812","28","1322.00","24,800","지분","-","-","-"
"6","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201812","27","198.00","1,194","지분","-","-","-"
"7","인천광역시 계양구 목상동","1**","전","개발제한구역","8m미만","201812","26","803.00","15,000","","-","-","-"
"8","인천광역시 계양구 용종동","1*","답","개발제한구역","8m미만","201812","26","3441.00","72,863","","-","-","-"
"9","인천광역시 계양구 목상동","1**","전","개발제한구역","8m미만","201812","26","525.00","12,000","","-","-","-"
"10","인천광역시 계양구 이화동","2**","전","개발제한구역","8m미만","201812","26","1805.00","32,760","","-","-","-"
"11","인천광역시 계양구 목상동","1**","전","개발제한구역","8m미만","201812","26","1211.00","21,000","","-","-","-"
"12","인천광역시 계양구 방축동","8*","임야","개발제한구역","8m미만","201812","25","395.00","11,300","","-","-","-"
"13","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","33.00","390","지분","-","-","-"
"14","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","165.00","1,950","지분","-","-","-"
"15","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","86.00","1,014","지분","-","-","-"
"16","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","52.00","624","지분","-","-","-"
"17","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","185.00","2,184","지분","-","-","-"
"18","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","132.00","1,560","지분","-","-","-"
"19","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","79.00","936","지분","-","-","-"
"20","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","728.00","8,580","지분","-","-","-"
"21","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","198.00","2,340","지분","-","-","-"
"22","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","331.00","3,900","지분","-","-","-"
"23","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","98.94","369","지분","-","-","-"
"24","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","99.00","1,170","지분","-","-","-"
"25","인천광역시 계양구 귤현동","1**","답","개발제한구역","8m미만","201812","24","2307.00","59,300","","-","-","-"
"26","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","232.00","3,430","지분","-","-","-"
"27","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","331.00","4,900","지분","-","-","-"
"28","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","165.00","2,450","지분","-","-","-"
"29","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","221.00","3,283","지분","-","-","-"
"30","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","69.00","1,029","지분","-","-","-"
"31","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","195.00","2,891","지분","-","-","-"
"32","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","24","99.00","1,470","지분","-","-","-"
"33","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","179.00","2,106","지분","-","-","-"
"34","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","24","99.17","1,170","지분","-","-","-"
"35","인천광역시 계양구 장기동","1**","답","개발제한구역","8m미만","201812","22","2904.00","50,000","","-","-","-"
"36","인천광역시 계양구 상야동","3**","전","개발제한구역","8m미만","201812","22","5344.00","67,872","","-","-","-"
"37","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","165.00","1,950","지분","-","-","-"
"38","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","3795.00","56,350","지분","-","-","-"
"39","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","331.00","1,747","지분","-","-","-"
"40","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","99.00","1,170","지분","-","-","-"
"41","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","132.00","1,560","지분","-","-","-"
"42","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","198.00","2,340","지분","-","-","-"
"43","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","122.00","1,443","지분","-","-","-"
"44","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","331.00","4,900","지분","-","-","-"
"45","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","21","66.00","780","지분","-","-","-"
"46","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","166.00","2,450","지분","-","-","-"
"47","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","92.00","1,372","지분","-","-","-"
"48","인천광역시 계양구 귤현동","산*","임야","개발제한구역","-","201812","21","73.00","1,078","지분","-","-","-"
"49","인천광역시 계양구 병방동","1**","전","제2종일반주거지역","12m미만","201812","20","22.75","250","지분","-","-","-"
"50","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","20","232.00","898","지분","-","-","-"
"51","인천광역시 계양구 이화동","2*","전","제1종일반주거지역","8m미만","201812","19","372.00","29,400","","-","-","-"
"52","인천광역시 계양구 이화동","2*","전","제1종일반주거지역","8m미만","201812","19","69.00","5,000","","-","-","-"
"53","인천광역시 계양구 이화동","2*","전","제1종일반주거지역","8m미만","201812","19","23.00","1,600","","-","-","-"
"54","인천광역시 계양구 이화동","2*","전","제1종일반주거지역","8m미만","201812","19","30.00","2,500","","-","-","-"
"55","인천광역시 계양구 방축동","산3*","임야","개발제한구역","-","201812","19","165.00","1,950","지분","-","-","-"
"56","인천광역시 계양구 방축동","산3*","대","개발제한구역","-","201812","18","992.00","3,197","지분","-","-","-"
"57","인천광역시 계양구 동양동","5*","전","개발제한구역","25m이상","201812","18","2404.00","72,700","","-","-","-"
"58","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201812","18","4929.00","18,951","지분","-","-","-"
"59","인천광역시 계양구 상야동","3**","답","개발제한구역","8m미만","201812","18","666.50","10,000","지분","-","-","-"
