"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2016-01-01 ~ 2016-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 하남시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 하남시 감일동","3**","대","제1종일반주거지역","8m미만","201612","30","20.67","5,700","지분","-","-","-"
"2","경기도 하남시 감북동","4**","답","제1종일반주거지역","8m미만","201612","30","99.75","25,000","지분","-","-","-"
"3","경기도 하남시 천현동","3*","도로","제1종일반주거지역","8m미만","201612","30","2.00","1,000","지분","-","-","-"
"4","경기도 하남시 천현동","3*","도로","제1종일반주거지역","8m미만","201612","30","3.50","2,000","지분","-","-","-"
"5","경기도 하남시 창우동","5**","잡종지","개발제한구역","8m미만","201612","30","755.00","80,000","","-","-","-"
"6","경기도 하남시 창우동","5**","잡종지","개발제한구역","8m미만","201612","30","244.00","26,000","","-","-","-"
"7","경기도 하남시 감일동","3**","도로","제1종일반주거지역","8m미만","201612","30","24.00","6,300","지분","-","-","-"
"8","경기도 하남시 감북동","산6*","임야","개발제한구역","-","201612","29","64.04","860","지분","-","-","-"
"9","경기도 하남시 감북동","산6*","임야","개발제한구역","-","201612","29","103.11","1,380","지분","-","-","-"
"10","경기도 하남시 천현동","2**","답","개발제한구역","8m미만","201612","29","140.00","5,000","","-","-","-"
"11","경기도 하남시 덕풍동","7**","대","제1종전용주거지역","12m미만","201612","29","256.10","77,500","","-","-","-"
"12","경기도 하남시 감북동","4**","잡종지","제1종일반주거지역","8m미만","201612","29","380.00","92,000","","-","-","-"
"13","경기도 하남시 감북동","산6*","임야","개발제한구역","-","201612","29","76.15","1,020","지분","-","-","-"
