"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2019-01-01 ~ 2019-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 하남시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 하남시 덕풍동","산2*","임야","개발제한구역","-","201912","31","1653.00","37,500","","-","-","-"
"2","경기도 하남시 감북동","1**","전","개발제한구역","-","201912","31","291.00","10,000","","-","-","-"
"3","경기도 하남시 덕풍동","산2*","임야","자연녹지지역","-","201912","31","3736.00","84,750","","-","-","-"
"4","경기도 하남시 덕풍동","산2*","임야","자연녹지지역","-","201912","31","1653.00","37,500","","-","-","-"
"5","경기도 하남시 덕풍동","산2*","임야","자연녹지지역","-","201912","31","3735.00","84,750","","-","-","-"
"6","경기도 하남시 감북동","1**","전","개발제한구역","-","201912","30","451.00","15,000","지분","-","-","-"
"7","경기도 하남시 미사동","5**","전","자연녹지지역","-","201912","30","1080.00","62,073","","-","-","-"
"8","경기도 하남시 초이동","2**","전","개발제한구역","-","201912","30","436.00","39,000","","-","-","-"
"9","경기도 하남시 덕풍동","3**","임야","일반상업지역","8m미만","201912","28","32.00","18,000","","-","-","-"
"10","경기도 하남시 감북동","산4*","임야","자연녹지지역","-","201912","27","39.67","3,276","지분","-","-","-"
"11","경기도 하남시 하사창동","산1*","임야","개발제한구역","-","201912","26","676.00","10,000","","-","-","-"
"12","경기도 하남시 감북동","4*","답","개발제한구역","-","201912","26","1314.00","105,710","","-","-","-"
"13","경기도 하남시 덕풍동","3**","도로","제2종일반주거지역","12m미만","201912","26","7.00","574","","-","-","-"
"14","경기도 하남시 감북동","산4*","임야","용도미지정","8m미만","201912","26","36.36","3,003","지분","-","-","-"
"15","경기도 하남시 상산곡동","6**","전","개발제한구역","8m미만","201912","26","726.00","21,960","지분","-","-","-"
"16","경기도 하남시 초이동","4**","도로","제1종일반주거지역","8m미만","201912","26","71.00","3,280","","-","-","-"
"17","경기도 하남시 초이동","4**","대","제1종일반주거지역","8m미만","201912","26","12.00","1,840","","-","-","-"
"18","경기도 하남시 초이동","산3*","임야","자연녹지지역","-","201912","26","330.00","24,500","지분","-","-","-"
"19","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","26","66.00","2,716","지분","-","-","-"
"20","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","26","496.00","15,750","지분","-","-","-"
"21","경기도 하남시 초이동","3**","전","개발제한구역","25m미만","201912","26","137.80","9,950","지분","-","-","-"
"22","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","24","99.00","3,087","지분","-","-","-"
"23","경기도 하남시 풍산동","3**","도로","기타","-","201912","24","18.00","5,500","","-","-","-"
"24","경기도 하남시 감북동","산4*","임야","자연녹지지역","8m미만","201912","24","39.67","3,276","지분","-","-","-"
"25","경기도 하남시 초이동","산3*","임야","자연녹지지역","-","201912","24","132.00","10,000","지분","-","-","-"
"26","경기도 하남시 감북동","산4*","임야","자연녹지지역","8m미만","201912","23","82.65","6,825","지분","-","-","-"
"27","경기도 하남시 감북동","4**","잡종지","제1종일반주거지역","8m미만","201912","23","264.00","73,212","","-","-","-"
"28","경기도 하남시 상산곡동","3*","임야","개발제한구역","-","201912","23","3416.00","62,000","","-","-","-"
"29","경기도 하남시 상산곡동","3*","임야","개발제한구역","-","201912","23","2502.00","45,400","","-","-","-"
"30","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","23","99.00","4,116","지분","-","-","-"
"31","경기도 하남시 덕풍동","7**","대","제2종일반주거지역","25m미만","201912","23","347.70","180,000","","-","-","-"
"32","경기도 하남시 감북동","4**","잡종지","제1종일반주거지역","8m미만","201912","23","221.00","61,288","","-","-","-"
"33","경기도 하남시 춘궁동","3**","전","자연녹지지역","-","201912","20","1237.00","28,000","","-","-","-"
"34","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","20","99.00","4,116","지분","-","-","-"
"35","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","20","99.00","3,056","지분","-","-","-"
"36","경기도 하남시 상산곡동","산*","임야","개발제한구역","-","201912","20","33.00","360","지분","-","-","-"
"37","경기도 하남시 미사동","4**","전","개발제한구역","8m미만","201912","20","1036.00","72,000","","-","-","-"
"38","경기도 하남시 미사동","4**","전","자연녹지지역","8m미만","201912","20","663.00","46,000","","-","-","-"
"39","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","19","66.00","2,744","지분","-","-","-"
"40","경기도 하남시 감북동","2**","답","개발제한구역","8m미만","201912","19","32.00","5,200","","-","-","-"
"41","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","19","132.00","5,488","지분","-","-","-"
"42","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","19","165.00","5,145","지분","-","-","-"
"43","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","18","99.00","3,087","지분","-","-","-"
"44","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","18","166.00","5,093","지분","-","-","-"
"45","경기도 하남시 초이동","산3*","임야","개발제한구역","25m이상","201912","18","367.00","10,000","지분","-","-","-"
"46","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","18","50.00","1,575","지분","-","-","-"
"47","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","17","99.00","4,116","지분","-","-","-"
"48","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","17","66.00","2,744","지분","-","-","-"
"49","경기도 하남시 감북동","산4*","임야","자연녹지지역","8m미만","201912","17","66.12","5,460","지분","-","-","-"
"50","경기도 하남시 감북동","산4*","임야","자연녹지지역","-","201912","17","26.45","2,152","지분","-","-","-"
"51","경기도 하남시 상산곡동","4**","도로","제1종전용주거지역","8m미만","201912","17","55.00","1,880","","-","-","-"
"52","경기도 하남시 상산곡동","4**","도로","제1종전용주거지역","8m미만","201912","17","1.00","34","","-","-","-"
"53","경기도 하남시 상산곡동","4**","대","제1종전용주거지역","8m미만","201912","17","20.00","2,376","","-","-","-"
"54","경기도 하남시 초이동","산3*","임야","개발제한구역","-","201912","16","99.00","3,087","지분","-","-","-"
"55","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","16","103.00","4,253","지분","-","-","-"
"56","경기도 하남시 초이동","산*","임야","개발제한구역","-","201912","16","238.00","9,878","지분","-","-","-"
