"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시 오정구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"46","경기도 부천시 오정구 대장동","1**","도로","제1종일반주거지역","8m미만","201809","15","26.00","2,000","","-","-","-"
"47","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201809","14","110.10","42,122","","-","-","-"
"48","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201809","14","100.00","38,255","지분","-","-","-"
"49","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201809","14","108.80","41,625","","-","-","-"
"50","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201809","14","232.20","88,829","","-","-","-"
"51","경기도 부천시 오정구 내동","1**","도로","일반공업지역","8m미만","201809","11","13.60","4,000","","-","-","-"
"52","경기도 부천시 오정구 작동","1**","대","제3종일반주거지역","-","201809","07","27.00","5,700","","-","-","-"
"53","경기도 부천시 오정구 작동","1**","대","제1종일반주거지역","12m미만","201809","05","23.15","5,000","지분","-","-","-"
"54","경기도 부천시 오정구 작동","3**","대","제1종일반주거지역","25m미만","201809","05","202.80","66,000","","-","-","-"
"55","경기도 부천시 오정구 원종동","1**","종교용지","제2종일반주거지역","8m미만","201809","04","346.40","130,000","","-","-","-"
"56","경기도 부천시 오정구 여월동","7*","잡종지","제1종일반주거지역","8m미만","201809","03","959.00","204,000","","-","-","-"
"57","경기도 부천시 오정구 여월동","7*","대","제1종일반주거지역","8m미만","201809","03","264.00","50,000","","-","-","-"
"58","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201808","29","1415.00","180,000","","-","-","-"
"59","경기도 부천시 오정구 대장동","2**","전","제1종일반주거지역","-","201808","29","620.00","46,800","지분","-","-","-"
"60","경기도 부천시 오정구 대장동","5**","전","개발제한구역","25m이상","201808","29","1730.00","74,500","","-","-","-"
"61","경기도 부천시 오정구 오정동","2**","답","개발제한구역","8m미만","201808","29","2833.00","36,600","","-","-","-"
"62","경기도 부천시 오정구 원종동","3**","도로","제2종일반주거지역","25m미만","201808","27","59.30","26,500","","-","-","-"
"63","경기도 부천시 오정구 삼정동","3**","잡종지","제3종일반주거지역","25m이상","201808","27","89942.20","15,769,866","","-","-","-"
"64","경기도 부천시 오정구 오정동","3**","전","개발제한구역","8m미만","201808","23","1055.00","33,600","","-","-","-"
"65","경기도 부천시 오정구 대장동","8*","대","제1종일반주거지역","8m미만","201808","17","641.00","82,500","","-","-","-"
"66","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","12m미만","201808","08","619.00","212,800","","-","-","-"
"67","경기도 부천시 오정구 작동","1**","대","제1종일반주거지역","-","201808","06","40.00","8,640","","-","-","-"
"68","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201808","01","189.22","28,613","지분","-","-","-"
"69","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201808","01","189.22","28,613","지분","-","-","-"
"70","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201808","01","46.87","7,088","","-","-","-"
"71","경기도 부천시 오정구 작동","1**","전","제3종일반주거지역","8m미만","201808","01","46.87","7,088","지분","-","-","-"
"72","경기도 부천시 오정구 대장동","2**","답","제1종일반주거지역","8m미만","201807","31","1488.00","108,000","","-","-","-"
"73","경기도 부천시 오정구 원종동","2**","대","일반상업지역","12m미만","201807","30","10.77","5,861","","-","-","-"
"74","경기도 부천시 오정구 대장동","2*","답","개발제한구역","8m미만","201807","30","2083.00","34,650","","-","-","-"
"75","경기도 부천시 오정구 대장동","5*","답","개발제한구역","8m미만","201807","30","1172.00","23,000","지분","-","-","-"
"76","경기도 부천시 오정구 대장동","5*","답","개발제한구역","8m미만","201807","30","1322.00","26,000","지분","-","-","-"
"77","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201807","26","294.00","41,800","","-","-","-"
"78","경기도 부천시 오정구 고강동","2**","대","제2종일반주거지역","25m미만","201807","23","431.30","150,000","","-","-","-"
"79","경기도 부천시 오정구 삼정동","8*","공장용지","일반공업지역","-","201807","13","47.00","7,391","","-","-","-"
"80","경기도 부천시 오정구 작동","1**","대","제1종일반주거지역","8m미만","201807","10","27.00","6,000","","-","-","-"
"81","경기도 부천시 오정구 오정동","7**","대","준공업지역","25m미만","201807","10","774.90","212,250","","-","-","-"
"82","경기도 부천시 오정구 대장동","5*","답","개발제한구역","8m미만","201807","10","2494.00","51,500","","-","-","-"
"83","경기도 부천시 오정구 원종동","9*","전","개발제한구역","8m미만","201807","03","2469.00","78,000","","-","-","-"
"84","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","-","201806","30","120.30","44,000","","-","-","-"
"85","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201806","30","11.84","1,900","지분","-","-","-"
"86","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","8m미만","201806","30","122.10","44,000","","-","-","-"
"87","경기도 부천시 오정구 대장동","1**","전","제1종일반주거지역","8m미만","201806","23","443.00","40,200","","-","-","-"
"88","경기도 부천시 오정구 여월동","산5*","임야","개발제한구역","-","201806","20","198.00","10,000","","-","-","-"
"89","경기도 부천시 오정구 대장동","7*","전","제1종일반주거지역","8m미만","201806","15","1716.00","132,300","","-","-","-"
"90","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201806","15","134.00","22,275","지분","-","-","-"
"91","경기도 부천시 오정구 대장동","1**","답","개발제한구역","8m미만","201806","12","2388.00","45,480","","-","-","-"
"92","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201806","11","430.00","58,500","지분","-","-","-"
"93","경기도 부천시 오정구 여월동","산3*","임야","개발제한구역","25m이상","201806","08","105.50","9,000","지분","-","-","-"
"94","경기도 부천시 오정구 대장동","2**","답","개발제한구역","8m미만","201806","06","2949.00","64,500","","-","-","-"
"95","경기도 부천시 오정구 내동","1**","공장용지","제3종일반주거지역","12m미만","201806","05","565.10","199,200","","-","-","-"
"96","경기도 부천시 오정구 오정동","4**","답","개발제한구역","8m미만","201806","04","1983.00","49,800","","-","-","-"
"97","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201806","03","46.00","7,650","지분","-","-","-"
"98","경기도 부천시 오정구 작동","1**","대","제1종일반주거지역","8m미만","201806","03","46.00","7,650","지분","-","-","-"
"99","경기도 부천시 오정구 고강동","2**","대","제2종일반주거지역","25m미만","201806","02","431.30","171,000","","-","-","-"
"100","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201806","01","209.87","25,400","지분","-","-","-"
"101","경기도 부천시 오정구 대장동","2**","답","개발제한구역","8m미만","201805","31","2949.00","64,500","","-","-","-"
"102","경기도 부천시 오정구 원종동","8*","답","개발제한구역","8m미만","201805","30","2545.00","53,900","","-","-","-"
"103","경기도 부천시 오정구 작동","1**","전","제1종일반주거지역","8m미만","201805","29","134.00","22,275","지분","-","-","-"
"104","경기도 부천시 오정구 대장동","6*","답","개발제한구역","8m미만","201805","29","3940.00","83,370","","-","-","-"
"105","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","25m이상","201805","25","55.50","72,200","","-","-","-"
"106","경기도 부천시 오정구 원종동","2**","대","일반상업지역","25m이상","201805","25","15.40","20,000","","-","-","-"
"107","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201805","22","430.90","156,500","","-","-","-"
"108","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201805","22","461.10","167,000","","-","-","-"
"109","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201805","22","430.80","156,500","","-","-","-"
"110","경기도 부천시 오정구 내동","1*","도로","제2종일반주거지역","-","201805","20","54.60","6,500","","-","-","-"
"111","경기도 부천시 오정구 대장동","6*","답","개발제한구역","8m미만","201805","18","2007.00","42,400","","-","-","-"
"112","경기도 부천시 오정구 작동","산*","임야","자연녹지지역","12m미만","201805","17","2319.00","7,000","","-","-","-"
"113","경기도 부천시 오정구 삼정동","9*","답","자연녹지지역","12m미만","201805","16","32.00","10,500","","-","-","-"
"114","경기도 부천시 오정구 고강동","산4*","임야","개발제한구역","25m미만","201805","15","1026.00","114,700","지분","-","-","-"
"115","경기도 부천시 오정구 대장동","2**","전","제1종일반주거지역","8m미만","201805","11","509.00","45,000","","-","-","-"
"116","경기도 부천시 오정구 원종동","3*","전","개발제한구역","8m미만","201805","10","2172.00","45,000","","-","-","-"
"117","경기도 부천시 오정구 고강동","3**","대","제3종일반주거지역","-","201804","28","39.30","11,800","","-","-","-"
"118","경기도 부천시 오정구 오정동","7**","공장용지","준공업지역","25m미만","201804","27","9912.90","1,911,331","","-","-","-"
"119","경기도 부천시 오정구 내동","2**","공장용지","준공업지역","8m미만","201804","27","396.30","110,000","","-","-","-"
"120","경기도 부천시 오정구 대장동","2**","대","제1종일반주거지역","8m미만","201804","23","569.00","74,930","","-","-","-"
"121","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201804","23","107.84","13,120","지분","-","-","-"
"122","경기도 부천시 오정구 오정동","7*","답","개발제한구역","8m미만","201804","23","1059.00","20,822","지분","-","-","-"
"123","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201804","19","389.00","141,210","","-","-","-"
"124","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201804","19","332.30","120,630","","-","-","-"
"125","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","-","201804","19","312.20","113,330","","-","-","-"
"126","경기도 부천시 오정구 대장동","6**","대","개발제한구역","8m미만","201804","02","79.00","4,670","","-","-","-"
"127","경기도 부천시 오정구 대장동","6**","대","개발제한구역","8m미만","201804","02","194.00","11,330","","-","-","-"
"128","경기도 부천시 오정구 삼정동","3**","도로","제2종일반주거지역","25m이상","201804","02","9.10","500","","-","-","-"
"129","경기도 부천시 오정구 내동","1*","대","제2종일반주거지역","12m미만","201804","01","243.50","36,800","지분","-","-","-"
"130","경기도 부천시 오정구 대장동","6**","답","개발제한구역","8m미만","201803","28","1983.00","51,000","","-","-","-"
"131","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","8m미만","201803","28","215.80","78,300","","-","-","-"
"132","경기도 부천시 오정구 고강동","1**","전","개발제한구역","-","201803","28","223.00","6,700","","-","-","-"
"133","경기도 부천시 오정구 삼정동","1*","전","일반공업지역","-","201803","26","65.00","17,240","","-","-","-"
"134","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","25m미만","201803","26","51.30","2,000","","-","-","-"
"135","경기도 부천시 오정구 삼정동","1*","대","일반공업지역","-","201803","26","186.00","48,360","","-","-","-"
"136","경기도 부천시 오정구 내동","2**","공장용지","일반공업지역","25m미만","201803","23","483.00","160,600","","-","-","-"
"137","경기도 부천시 오정구 내동","2**","공장용지","일반공업지역","8m미만","201803","23","13.00","4,400","","-","-","-"
"138","경기도 부천시 오정구 여월동","*","대","제2종일반주거지역","8m미만","201803","23","344.50","122,000","","-","-","-"
"139","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201803","20","446.00","56,700","","-","-","-"
"140","경기도 부천시 오정구 고강동","1**","전","개발제한구역","12m미만","201803","16","2145.00","74,000","","-","-","-"
"141","경기도 부천시 오정구 대장동","1**","대","제1종일반주거지역","8m미만","201803","16","721.00","87,241","","-","-","-"
"142","경기도 부천시 오정구 원종동","8*","답","개발제한구역","8m미만","201803","13","61.33","940","지분","-","-","-"
"143","경기도 부천시 오정구 대장동","3**","답","개발제한구역","8m미만","201803","13","1719.00","34,500","","-","-","-"
"144","경기도 부천시 오정구 대장동","3**","답","개발제한구역","8m미만","201803","13","978.00","19,700","","-","-","-"
"145","경기도 부천시 오정구 대장동","3**","답","개발제한구역","8m미만","201803","13","26.00","500","","-","-","-"
