"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2016-01-01 ~ 2016-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시 오정구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 부천시 오정구 고강동","3**","전","제2종일반주거지역","8m미만","201612","30","146.50","27,982","","-","-","-"
"2","경기도 부천시 오정구 삼정동","2**","공장용지","일반공업지역","-","201612","29","143.10","27,475","","-","-","-"
"3","경기도 부천시 오정구 원종동","산7*","임야","개발제한구역","8m미만","201612","27","2145.00","18,018","","-","-","-"
"4","경기도 부천시 오정구 원종동","3**","도로","일반상업지역","-","201612","24","1.92","100","지분","-","-","-"
"5","경기도 부천시 오정구 대장동","4**","답","개발제한구역","8m미만","201612","21","1983.00","37,800","","-","-","-"
"6","경기도 부천시 오정구 오정동","3**","대","생산녹지지역","8m미만","201612","20","117.00","37,500","","-","-","-"
"7","경기도 부천시 오정구 오정동","3**","대","제2종일반주거지역","8m미만","201612","20","153.00","37,500","","-","-","-"
"8","경기도 부천시 오정구 오정동","3**","대","생산녹지지역","8m미만","201612","20","150.00","37,500","","-","-","-"
"9","경기도 부천시 오정구 오정동","3**","대","제2종일반주거지역","8m미만","201612","20","162.00","37,500","","-","-","-"
"10","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","12m미만","201612","17","11.84","3,000","지분","-","-","-"
"11","경기도 부천시 오정구 고강동","3**","대","제2종일반주거지역","12m미만","201612","14","667.80","170,000","","-","-","-"
"12","경기도 부천시 오정구 대장동","4**","답","개발제한구역","8m미만","201612","14","1983.00","38,400","","-","-","-"
"13","경기도 부천시 오정구 대장동","3**","답","개발제한구역","8m미만","201612","14","2210.00","43,454","","-","-","-"
"14","경기도 부천시 오정구 내동","1*","도로","제2종일반주거지역","12m미만","201612","10","29.03","1,400","지분","-","-","-"
"15","경기도 부천시 오정구 내동","1*","대","제2종일반주거지역","12m미만","201612","10","29.03","1,400","지분","-","-","-"
"16","경기도 부천시 오정구 오정동","1**","잡종지","자연녹지지역","8m미만","201612","01","4.00","960","","-","-","-"
"17","경기도 부천시 오정구 오정동","1**","도로","자연녹지지역","8m미만","201612","01","15.00","3,600","지분","-","-","-"
"18","경기도 부천시 오정구 대장동","3**","답","개발제한구역","8m미만","201611","30","4258.00","70,840","","-","-","-"
"19","경기도 부천시 오정구 대장동","4**","답","개발제한구역","8m미만","201611","30","1983.00","39,000","","-","-","-"
"20","경기도 부천시 오정구 고강동","3**","대","제2종일반주거지역","12m미만","201611","29","172.20","57,200","","-","-","-"
"21","경기도 부천시 오정구 원종동","3**","임야","일반상업지역","12m미만","201611","28","608.00","185,136","","-","-","-"
"22","경기도 부천시 오정구 고강동","3**","대","제2종일반주거지역","8m미만","201611","25","122.80","29,717","","-","-","-"
"23","경기도 부천시 오정구 고강동","2**","대","제2종일반주거지역","8m미만","201611","25","14.00","850","","-","-","-"
"24","경기도 부천시 오정구 삼정동","3**","도로","제2종일반주거지역","-","201611","25","45.00","8,000","","-","-","-"
"25","경기도 부천시 오정구 고강동","2**","대","제2종일반주거지역","-","201611","25","58.00","3,550","","-","-","-"
"26","경기도 부천시 오정구 고강동","2**","답","개발제한구역","8m미만","201611","25","1064.00","19,260","","-","-","-"
"27","경기도 부천시 오정구 고강동","2**","대","개발제한구역","8m미만","201611","25","16.00","2,000","","-","-","-"
"28","경기도 부천시 오정구 고강동","3**","대","제2종일반주거지역","8m미만","201611","24","122.80","28,860","","-","-","-"
"29","경기도 부천시 오정구 여월동","1**","임야","제1종일반주거지역","8m미만","201611","23","155.33","20,500","지분","-","-","-"
"30","경기도 부천시 오정구 여월동","1**","임야","개발제한구역","25m이상","201611","23","262.00","6,000","지분","-","-","-"
