"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2017-01-01 ~ 2017-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 고양시 덕양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 고양시 덕양구 지축동","산6*","임야","개발제한구역","-","201712","30","990.00","7,500","지분","-","-","-"
"2","경기도 고양시 덕양구 주교동","1***","전","개발제한구역","8m미만","201712","30","1314.00","39,700","","-","-","-"
"3","경기도 고양시 덕양구 화전동","1**","임야","제1종일반주거지역","8m미만","201712","29","549.00","27,390","","-","-","-"
"4","경기도 고양시 덕양구 토당동","7*","도로","제3종일반주거지역","8m미만","201712","29","8.29","1,325","지분","-","-","-"
"5","경기도 고양시 덕양구 토당동","7*","도로","제3종일반주거지역","8m미만","201712","29","5.04","806","지분","-","-","-"
"6","경기도 고양시 덕양구 토당동","7*","도로","제3종일반주거지역","8m미만","201712","29","2.54","406","지분","-","-","-"
"7","경기도 고양시 덕양구 토당동","7*","도로","제3종일반주거지역","8m미만","201712","29","4.04","646","지분","-","-","-"
"8","경기도 고양시 덕양구 토당동","2**","도로","제3종일반주거지역","12m미만","201712","29","72.00","11,508","지분","-","-","-"
"9","경기도 고양시 덕양구 토당동","7*","도로","제3종일반주거지역","8m미만","201712","29","3.58","573","지분","-","-","-"
"10","경기도 고양시 덕양구 도내동","2**","대","용도미지정","-","201712","29","139.45","24,822","지분","-","-","-"
"11","경기도 고양시 덕양구 지축동","8**","대","제1종일반주거지역","-","201712","29","64.00","14,272","","-","-","-"
"12","경기도 고양시 덕양구 대장동","5**","답","개발제한구역","8m미만","201712","29","1081.00","44,145","","-","-","-"
"13","경기도 고양시 덕양구 고양동","산*","임야","자연녹지지역","-","201712","29","990.00","2,400","","-","-","-"
"14","경기도 고양시 덕양구 토당동","2**","도로","제3종일반주거지역","12m미만","201712","29","19.25","3,077","지분","-","-","-"
"15","경기도 고양시 덕양구 화정동","1***","대","일반상업지역","25m이상","201712","29","1400.00","670,000","","-","-","-"
"16","경기도 고양시 덕양구 지축동","4**","임야","개발제한구역","-","201712","28","14.00","1,120","지분","-","-","-"
"17","경기도 고양시 덕양구 향동동","산7*","임야","개발제한구역","-","201712","28","102.48","1,144","지분","-","-","-"
