"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-01-01 ~ 2021-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 군포시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","29","101.00","3,000","지분","-","직거래","-"
"2","경기도 군포시 당정동","5*","공장용지","일반공업지역","8m미만","202112","27","4278.00","1,550,000","","-","직거래","-"
"3","경기도 군포시 둔대동","1**","전","개발제한구역","-","202112","27","1608.00","87,100","","-","중개거래","경기 안산상록구"
"4","경기도 군포시 도마교동","4**","대","준주거지역","25m미만","202112","27","716.20","320,000","","-","중개거래","경기 안양만안구"
"5","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","27","67.00","2,010","지분","-","직거래","-"
"6","경기도 군포시 둔대동","5**","답","개발제한구역","-","202112","27","764.00","16,170","","-","직거래","-"
"7","경기도 군포시 산본동","9*","도로","제2종일반주거지역","8m미만","202112","21","2.00","142","","-","직거래","-"
"8","경기도 군포시 당정동","2*","대","일반공업지역","8m미만","202112","17","106.00","34,747","","-","중개거래","경기 의왕시"
"9","경기도 군포시 당정동","1*","공장용지","일반공업지역","25m미만","202112","17","32.06","9,698","지분","-","중개거래","경기 의왕시"
"10","경기도 군포시 당정동","1*","공장용지","일반공업지역","25m미만","202112","17","410.71","124,240","지분","-","중개거래","경기 의왕시"
"11","경기도 군포시 당정동","1*","공장용지","일반공업지역","25m미만","202112","17","126.55","38,283","지분","-","중개거래","경기 의왕시"
"12","경기도 군포시 당정동","1*","전","일반공업지역","25m미만","202112","17","14.51","4,390","지분","-","중개거래","경기 의왕시"
"13","경기도 군포시 대야미동","1**","답","개발제한구역","8m미만","202112","17","205.00","14,800","","-","중개거래","경기 군포시"
"14","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","17","67.00","1,930","지분","-","직거래","-"
"15","경기도 군포시 당정동","5*","공장용지","일반공업지역","8m미만","202112","16","4278.00","1,550,000","","20211227","직거래","-"
"16","경기도 군포시 금정동","1**","대","준주거지역","8m미만","202112","15","81.00","35,540","지분","-","직거래","-"
"17","경기도 군포시 산본동","8**","임야","개발제한구역","-","202112","14","85.18","790","지분","-","직거래","-"
"18","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","13","65.00","1,950","지분","-","직거래","-"
"19","경기도 군포시 당동","6**","공장용지","일반공업지역","-","202112","10","9.00","2,024","","-","직거래","-"
"20","경기도 군포시 당정동","2**","공장용지","일반공업지역","25m미만","202112","10","319.00","90,000","","-","직거래","-"
"21","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","10","132.00","3,920","지분","-","직거래","-"
"22","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","10","132.00","3,920","지분","-","직거래","-"
"23","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","09","66.00","1,960","지분","-","직거래","-"
"24","경기도 군포시 당정동","3**","도로","일반공업지역","8m미만","202112","09","43.46","6,809","지분","-","중개거래","경기 군포시"
"25","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","09","100.00","2,970","지분","-","직거래","-"
"26","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","09","65.00","1,950","지분","-","직거래","-"
"27","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","08","340.00","10,200","지분","-","직거래","-"
"28","경기도 군포시 둔대동","산3*","임야","자연녹지지역","8m미만","202112","08","57.00","1,693","지분","-","직거래","-"
"29","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","08","62.00","1,841","지분","-","직거래","-"
"30","경기도 군포시 산본동","8**","임야","개발제한구역","-","202112","08","1458.00","5,103","","-","직거래","-"
"31","경기도 군포시 부곡동","산1**","임야","개발제한구역","-","202112","07","3449.00","22,074","","-","직거래","-"
"32","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","07","120.00","3,564","지분","-","직거래","-"
"33","경기도 군포시 둔대동","산3*","임야","자연녹지지역","8m미만","202112","07","40.00","1,188","지분","-","직거래","-"
"34","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","06","66.00","1,960","지분","-","직거래","-"
"35","경기도 군포시 속달동","*","전","개발제한구역","-","202112","06","118.00","3,443","지분","-","직거래","-"
"36","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","06","223.00","6,623","지분","-","직거래","-"
"37","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","06","77.00","2,310","지분","-","직거래","-"
"38","경기도 군포시 둔대동","산3*","임야","자연녹지지역","-","202112","03","37.00","1,099","지분","-","직거래","-"
"39","경기도 군포시 금정동","6**","도로","준주거지역","25m이상","202112","02","3.00","1,328","","-","직거래","-"
"40","경기도 군포시 금정동","1**","전","준주거지역","8m미만","202112","02","106.00","46,931","","-","직거래","-"
"41","경기도 군포시 금정동","1**","전","준주거지역","25m이상","202112","02","19.00","8,412","","-","직거래","-"
"42","경기도 군포시 금정동","1**","전","준주거지역","8m미만","202112","02","63.00","27,893","","-","직거래","-"
