"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 군포시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 군포시 금정동","2**","전","일반공업지역","8m미만","202012","30","399.00","69,000","","20210817","-","-"
"2","경기도 군포시 부곡동","산1**","임야","개발제한구역","-","202012","24","83.00","1,087","지분","-","-","-"
"3","경기도 군포시 당정동","4**","전","일반공업지역","25m미만","202012","24","1.00","334","","-","-","-"
"4","경기도 군포시 당정동","5**","공장용지","일반공업지역","25m미만","202012","24","8.00","2,672","","-","-","-"
"5","경기도 군포시 당정동","5**","공장용지","일반공업지역","25m미만","202012","24","61.00","20,374","","-","-","-"
"6","경기도 군포시 당정동","5**","공장용지","일반공업지역","25m미만","202012","24","29.00","9,686","","-","-","-"
"7","경기도 군포시 산본동","8*","도로","제2종일반주거지역","8m미만","202012","22","23.20","2,000","","-","-","-"
"8","경기도 군포시 당정동","2**","공장용지","일반공업지역","25m미만","202012","21","491.64","173,700","지분","-","-","-"
"9","경기도 군포시 당정동","2**","공장용지","일반공업지역","25m미만","202012","21","491.64","173,700","지분","20210106","-","-"
"10","경기도 군포시 당정동","2**","공장용지","일반공업지역","12m미만","202012","21","16.00","5,600","","20210106","-","-"
"11","경기도 군포시 도마교동","3**","전","용도미지정","-","202012","19","1001.00","24,240","","-","-","-"
"12","경기도 군포시 도마교동","산4*","임야","용도미지정","-","202012","19","364.00","8,800","","-","-","-"
